"FullName","Name","Mode","Length","LastWriteTime"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\START_HERE.md","START_HERE.md","-a----","1323","10/06/2026 7:44:54 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\TARGET_PATHS.txt","TARGET_PATHS.txt","-a----","109","10/06/2026 7:54:43 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\approved-for-fable\.gitkeep",".gitkeep","-a----","0","10/06/2026 7:44:54 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\architecture-draft\.gitkeep",".gitkeep","-a----","0","10/06/2026 7:44:54 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\architecture-draft\architecture-draft.md","architecture-draft.md","-a----","590","10/06/2026 7:44:54 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\architecture-draft\first-commit-scope.md","first-commit-scope.md","-a----","1379","10/06/2026 7:44:54 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\architecture-draft\risk-register.md","risk-register.md","-a----","235","10/06/2026 7:44:54 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\architecture-draft\schema-draft.sql","schema-draft.sql","-a----","532","10/06/2026 7:44:54 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\checklists\.gitkeep",".gitkeep","-a----","0","10/06/2026 7:44:54 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\checklists\12_DAY_CALENDAR.md","12_DAY_CALENDAR.md","-a----","1233","10/06/2026 7:44:54 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\checklists\do_not_upload.md","do_not_upload.md","-a----","453","10/06/2026 7:44:55 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\checklists\phase_1_tonight.md","phase_1_tonight.md","-a----","314","10/06/2026 7:44:54 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\checklists\pre_fable_checklist.md","pre_fable_checklist.md","-a----","544","10/06/2026 7:44:55 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\download-helpers\00_create_targets_and_copy_link_kit.ps1","00_create_targets_and_copy_link_kit.ps1","-a----","1047","10/06/2026 7:54:43 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\download-helpers\01_open_drive_links_in_browser.ps1","01_open_drive_links_in_browser.ps1","-a----","823","10/06/2026 7:54:43 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\download-helpers\02_try_direct_download_to_targets.ps1","02_try_direct_download_to_targets.ps1","-a----","1942","10/06/2026 7:54:43 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\download-helpers\prep-v2.ps1","prep-v2.ps1","-a----","13462","10/06/2026 8:01:39 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\download-helpers\script.ps1","script.ps1","-a----","23865","10/06/2026 8:00:23 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\excluded-private\.gitkeep",".gitkeep","-a----","0","10/06/2026 7:44:54 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\fable-output\scaffold","scaffold","d-----",,"10/06/2026 7:44:54 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\fable-output\architecture-decision-record.md","architecture-decision-record.md","-a----","69","10/06/2026 7:44:54 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\fable-output\canonical-repo-map.md","canonical-repo-map.md","-a----","59","10/06/2026 7:44:54 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\fable-output\implementation-plan.md","implementation-plan.md","-a----","60","10/06/2026 7:44:54 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\fable-output\privacy-risk-report.md","privacy-risk-report.md","-a----","60","10/06/2026 7:44:54 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\fable-output\README.md","README.md","-a----","60","10/06/2026 7:44:54 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\fable-output\schema.sql","schema.sql","-a----","40","10/06/2026 7:44:54 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\fable-output\test-plan.md","test-plan.md","-a----","50","10/06/2026 7:44:54 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\fable-output\top-10-actions.md","top-10-actions.md","-a----","55","10/06/2026 7:44:54 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\fable-output\weekly-review-template.md","weekly-review-template.md","-a----","63","10/06/2026 7:44:54 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\fable-output\scaffold\.gitkeep",".gitkeep","-a----","0","10/06/2026 7:44:54 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\history\.gitkeep",".gitkeep","-a----","0","10/06/2026 7:44:55 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\history\PLAN_ITERATIONS_AND_RANKINGS.md","PLAN_ITERATIONS_AND_RANKINGS.md","-a----","745","10/06/2026 7:44:55 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\notes\.gitkeep",".gitkeep","-a----","0","10/06/2026 7:44:55 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\notes\fable_cost_and_access_notes.md","fable_cost_and_access_notes.md","-a----","758","10/06/2026 7:44:55 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\pdf-download-kit\GMAIL_PDF_ATTACHMENTS.md","GMAIL_PDF_ATTACHMENTS.md","-a----","648","10/06/2026 7:54:43 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\pdf-download-kit\PDF_LINKS.csv","PDF_LINKS.csv","-a----","13323","10/06/2026 7:54:43 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\pdf-download-kit\PDF_LINKS.html","PDF_LINKS.html","-a----","16630","10/06/2026 7:54:43 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\pdf-download-kit\PDF_LINKS.md","PDF_LINKS.md","-a----","17756","10/06/2026 7:54:43 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\pdf-download-kit\REPO_LINKS.md","REPO_LINKS.md","-a----","2608","10/06/2026 7:54:43 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\pdf-download-kit\SOURCE_REGISTER_PDF_ROWS.csv","SOURCE_REGISTER_PDF_ROWS.csv","-a----","7914","10/06/2026 7:54:43 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\raw-inventory\.gitkeep",".gitkeep","-a----","0","10/06/2026 7:44:54 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\scripts\.gitkeep",".gitkeep","-a----","0","10/06/2026 7:44:54 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\scripts\00-run-phase-2-security-precheck.ps1","00-run-phase-2-security-precheck.ps1","-a----","386","10/06/2026 7:44:54 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\scripts\00-run-phase-5-inventory.ps1","00-run-phase-5-inventory.ps1","-a----","408","10/06/2026 7:44:54 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\scripts\01-risky-file-scan.ps1","01-risky-file-scan.ps1","-a----","690","10/06/2026 7:44:54 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\scripts\02-token-string-scan.ps1","02-token-string-scan.ps1","-a----","976","10/06/2026 7:44:54 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\scripts\03-git-config-credential-scan.ps1","03-git-config-credential-scan.ps1","-a----","732","10/06/2026 7:44:54 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\scripts\04-local-folder-inventory.ps1","04-local-folder-inventory.ps1","-a----","438","10/06/2026 7:44:54 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\scripts\05-git-status-inventory.ps1","05-git-status-inventory.ps1","-a----","1237","10/06/2026 7:44:54 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\scripts\06-github-metadata-export.ps1","06-github-metadata-export.ps1","-a----","709","10/06/2026 7:44:54 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\source-cards\.gitkeep",".gitkeep","-a----","0","10/06/2026 7:44:54 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\source-cards\deployment-cards.md","deployment-cards.md","-a----","260","10/06/2026 7:44:54 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\source-cards\doc-cards.md","doc-cards.md","-a----","211","10/06/2026 7:44:54 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\source-cards\email-cards.md","email-cards.md","-a----","240","10/06/2026 7:44:54 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\source-cards\local-workspace-cards.md","local-workspace-cards.md","-a----","268","10/06/2026 7:44:54 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\source-cards\open-action-cards.md","open-action-cards.md","-a----","211","10/06/2026 7:44:54 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\source-cards\privacy-risk-cards.md","privacy-risk-cards.md","-a----","213","10/06/2026 7:44:54 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\source-cards\QUALITY_GATE.md","QUALITY_GATE.md","-a----","632","10/06/2026 7:44:54 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\source-cards\repo-cards.md","repo-cards.md","-a----","308","10/06/2026 7:44:54 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\source-lists\.gitkeep",".gitkeep","-a----","0","10/06/2026 7:44:54 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\source-lists\deployment_links.md","deployment_links.md","-a----","1224","10/06/2026 7:44:54 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\source-lists\email_searches.md","email_searches.md","-a----","1475","10/06/2026 7:44:54 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\source-lists\local_folders.md","local_folders.md","-a----","591","10/06/2026 7:44:54 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\source-lists\pdf_doc_upload_checklist.md","pdf_doc_upload_checklist.md","-a----","1867","10/06/2026 7:44:54 PM"
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\source-lists\repo_links.md","repo_links.md","-a----","1973","10/06/2026 7:44:54 PM"
"C:\dev\joshos-atlas\joshos-atlas-pdf-download-kit\joshos-atlas-pdf-download-kit","joshos-atlas-pdf-download-kit","d-----",,"10/06/2026 7:54:43 PM"
"C:\dev\joshos-atlas\joshos-atlas-pdf-download-kit\joshos-atlas-pdf-download-kit\download-helpers","download-helpers","d-----",,"10/06/2026 8:01:39 PM"
"C:\dev\joshos-atlas\joshos-atlas-pdf-download-kit\joshos-atlas-pdf-download-kit\GMAIL_PDF_ATTACHMENTS.md","GMAIL_PDF_ATTACHMENTS.md","-a----","648","10/06/2026 7:54:43 PM"
"C:\dev\joshos-atlas\joshos-atlas-pdf-download-kit\joshos-atlas-pdf-download-kit\PDF_LINKS.csv","PDF_LINKS.csv","-a----","13323","10/06/2026 7:54:43 PM"
"C:\dev\joshos-atlas\joshos-atlas-pdf-download-kit\joshos-atlas-pdf-download-kit\PDF_LINKS.html","PDF_LINKS.html","-a----","16630","10/06/2026 7:54:43 PM"
"C:\dev\joshos-atlas\joshos-atlas-pdf-download-kit\joshos-atlas-pdf-download-kit\PDF_LINKS.md","PDF_LINKS.md","-a----","17756","10/06/2026 7:54:43 PM"
"C:\dev\joshos-atlas\joshos-atlas-pdf-download-kit\joshos-atlas-pdf-download-kit\README.md","README.md","-a----","1711","10/06/2026 7:54:43 PM"
"C:\dev\joshos-atlas\joshos-atlas-pdf-download-kit\joshos-atlas-pdf-download-kit\REPO_LINKS.md","REPO_LINKS.md","-a----","2608","10/06/2026 7:54:43 PM"
"C:\dev\joshos-atlas\joshos-atlas-pdf-download-kit\joshos-atlas-pdf-download-kit\SOURCE_REGISTER_PDF_ROWS.csv","SOURCE_REGISTER_PDF_ROWS.csv","-a----","7914","10/06/2026 7:54:43 PM"
"C:\dev\joshos-atlas\joshos-atlas-pdf-download-kit\joshos-atlas-pdf-download-kit\TARGET_PATHS.txt","TARGET_PATHS.txt","-a----","109","10/06/2026 7:54:43 PM"
"C:\dev\joshos-atlas\joshos-atlas-pdf-download-kit\joshos-atlas-pdf-download-kit\download-helpers\00_create_targets_and_copy_link_kit.ps1","00_create_targets_and_copy_link_kit.ps1","-a----","1047","10/06/2026 7:54:43 PM"
"C:\dev\joshos-atlas\joshos-atlas-pdf-download-kit\joshos-atlas-pdf-download-kit\download-helpers\01_open_drive_links_in_browser.ps1","01_open_drive_links_in_browser.ps1","-a----","823","10/06/2026 7:54:43 PM"
"C:\dev\joshos-atlas\joshos-atlas-pdf-download-kit\joshos-atlas-pdf-download-kit\download-helpers\02_try_direct_download_to_targets.ps1","02_try_direct_download_to_targets.ps1","-a----","1942","10/06/2026 7:54:43 PM"
"C:\dev\joshos-atlas\joshos-atlas-pdf-download-kit\joshos-atlas-pdf-download-kit\download-helpers\prep-v2.ps1","prep-v2.ps1","-a----","13462","10/06/2026 8:01:39 PM"
"C:\dev\joshos-atlas\joshos-atlas-pdf-download-kit\joshos-atlas-pdf-download-kit\download-helpers\script.ps1","script.ps1","-a----","23865","10/06/2026 8:00:23 PM"
"C:\dev\joshos-atlas\joshos-atlas-pdf-download-kit\joshos-atlas-pdf-download-kit\download-helpers\script.txt","script.txt","-a----","23875","10/06/2026 7:59:05 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude","joshos-atlas-prep claude","d-----",,"10/06/2026 8:03:50 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\approved-for-fable","approved-for-fable","d-----",,"10/06/2026 8:01:40 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\architecture-draft","architecture-draft","d-----",,"10/06/2026 7:45:13 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\download-helpers","download-helpers","d-----",,"10/06/2026 8:03:50 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\excluded-private","excluded-private","d-----",,"10/06/2026 8:01:40 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\fable-output","fable-output","d-----",,"10/06/2026 8:01:40 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\pdf-download-kit","pdf-download-kit","d-----",,"10/06/2026 8:01:40 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\pdfs","pdfs","d-----",,"10/06/2026 8:03:50 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\raw-inventory","raw-inventory","d-----",,"10/06/2026 8:04:22 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\scripts","scripts","d-----",,"10/06/2026 7:45:14 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\seed-data","seed-data","d-----",,"10/06/2026 7:45:14 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\source-cards","source-cards","d-----",,"10/06/2026 7:45:14 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\{scripts,raw-inventory,source-cards,approved-for-fable,excluded-private,architecture-draft,fable-output","{scripts,raw-inventory,source-cards,approved-for-fable,excluded-private,architecture-draft,fable-output","d-----",,"10/06/2026 7:45:14 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\.~lock.04_SOURCE_REGISTER.csv#",".~lock.04_SOURCE_REGISTER.csv#","-a-h--","106","10/06/2026 7:52:35 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\00_SECURITY_PRECHECK.md","00_SECURITY_PRECHECK.md","-a----","655","10/06/2026 8:04:20 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\01_PERSONAL_CONTEXT.md","01_PERSONAL_CONTEXT.md","-a----","913","10/06/2026 8:01:40 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\02_PRIVACY_BOUNDARIES.md","02_PRIVACY_BOUNDARIES.md","-a----","841","10/06/2026 8:01:40 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\03_CANONICAL_GOALS.md","03_CANONICAL_GOALS.md","-a----","330","10/06/2026 8:01:40 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\04_SOURCE_REGISTER.csv","04_SOURCE_REGISTER.csv","-a----","12329","10/06/2026 7:45:13 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\05_SEED_DATA_FORMAT.md","05_SEED_DATA_FORMAT.md","-a----","4060","10/06/2026 7:45:13 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\06_FABLE_PROMPT.md","06_FABLE_PROMPT.md","-a----","12337","10/06/2026 7:45:13 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\06_FABLE_SESSION.md","06_FABLE_SESSION.md","-a----","0","10/06/2026 8:01:40 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\07_CALENDAR_AND_CHECKLIST.md","07_CALENDAR_AND_CHECKLIST.md","-a----","8583","10/06/2026 7:45:13 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\08_FALLBACK_PLAN.md","08_FALLBACK_PLAN.md","-a----","4588","10/06/2026 7:45:13 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\09_MODEL_ROUTING_GUIDE.md","09_MODEL_ROUTING_GUIDE.md","-a----","3314","10/06/2026 7:45:13 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\10_PLAN_ITERATION_HISTORY.md","10_PLAN_ITERATION_HISTORY.md","-a----","4252","10/06/2026 7:45:13 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\PDF_LINKS.csv","PDF_LINKS.csv","-a----","13323","10/06/2026 7:54:43 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\PDF_LINKS.html","PDF_LINKS.html","-a----","16630","10/06/2026 7:54:43 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\PDF_LINKS.md","PDF_LINKS.md","-a----","17756","10/06/2026 7:54:43 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\README.md","README.md","-a----","4526","10/06/2026 7:45:13 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\REPO_LINKS.md","REPO_LINKS.md","-a----","2608","10/06/2026 7:54:43 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\TARGET_PATHS.txt","TARGET_PATHS.txt","-a----","109","10/06/2026 7:54:43 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\architecture-draft\architecture-draft.md","architecture-draft.md","-a----","1039","10/06/2026 7:45:13 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\architecture-draft\first-commit-scope.md","first-commit-scope.md","-a----","1152","10/06/2026 7:45:13 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\architecture-draft\risk-register.md","risk-register.md","-a----","920","10/06/2026 7:45:13 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\architecture-draft\schema-draft.sql","schema-draft.sql","-a----","2426","10/06/2026 7:45:13 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\download-helpers\00_create_targets_and_copy_link_kit.ps1","00_create_targets_and_copy_link_kit.ps1","-a----","1047","10/06/2026 7:54:43 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\download-helpers\01_open_drive_links_in_browser.ps1","01_open_drive_links_in_browser.ps1","-a----","823","10/06/2026 7:54:43 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\download-helpers\02_try_direct_download_to_targets.ps1","02_try_direct_download_to_targets.ps1","-a----","1942","10/06/2026 7:54:43 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\download-helpers\prep-v2.ps1","prep-v2.ps1","-a----","13462","10/06/2026 8:01:39 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\download-helpers\script.ps1","script.ps1","-a----","23865","10/06/2026 8:00:23 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\fable-output\scaffold","scaffold","d-----",,"10/06/2026 9:37:44 AM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\fable-output\architecture-decision-record.md","architecture-decision-record.md","-a----","82","10/06/2026 7:45:14 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\fable-output\canonical-repo-map.md","canonical-repo-map.md","-a----","72","10/06/2026 7:45:14 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\fable-output\implementation-plan.md","implementation-plan.md","-a----","0","10/06/2026 8:01:40 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\fable-output\privacy-risk-report.md","privacy-risk-report.md","-a----","73","10/06/2026 7:45:14 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\fable-output\README.md","README.md","-a----","60","10/06/2026 7:45:14 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\fable-output\schema.sql","schema.sql","-a----","61","10/06/2026 7:45:14 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\fable-output\test-plan.md","test-plan.md","-a----","0","10/06/2026 8:01:40 PM"
"C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\fable-output\top-10-actions.md","top-10-actions.md","-a----","68","10/06/2026 7:45:14 PM"
