"Group","Title","Url","SaveTo","Sensitivity","Notes"
"04-github-repos","GitHub repo: LifeHub","https://github.com/joshualparris/LifeHub","C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\source-repo-thin-packs","private-low","Dashboard overlap."
"04-github-repos","GitHub repo: Parris-Life-Dashboard","https://github.com/joshualparris/Parris-Life-Dashboard","C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\source-repo-thin-packs","private-low","Dashboard overlap."
"04-github-repos","GitHub repo: DCSPrep","https://github.com/joshualparris/DCSPrep","C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\source-repo-thin-packs","private-medium","Work-related; no staff/student data."
"04-github-repos","GitHub repo: DCSCompanion","https://github.com/joshuaparris-max/DCSCompanion","C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\source-repo-thin-packs","private-medium","Work-related; no staff/student data."
"04-github-repos","GitHub repo: WorkApp","https://github.com/joshualparris/WorkApp","C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\source-repo-thin-packs","private-medium","Deployment failure exists."
"04-github-repos","GitHub repo: HealthLens","https://github.com/joshualparris/HealthLens","C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\source-repo-thin-packs","private-high","Health-related; do not include real health data."
"04-github-repos","GitHub repo: ParrisTechApp","https://github.com/joshualparris/ParrisTechApp","C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\source-repo-thin-packs","private-low","Tech app."
"04-github-repos","GitHub repo: ParrisTechServicesApp","https://github.com/joshualparris/ParrisTechServicesApp","C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\source-repo-thin-packs","private-low","Tech app overlap."
"04-github-repos","GitHub repo: Sleepy","https://github.com/joshualparris/Sleepy","C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\source-repo-thin-packs","private-high","Child/family app; privacy review."
"04-github-repos","GitHub repo: SylviePhonetics","https://github.com/joshualparris/SylviePhonetics","C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\source-repo-thin-packs","private-high","Child/family app; privacy review."
"04-github-repos","GitHub repo: campaign-copilot","https://github.com/joshuaparris-max/campaign-copilot","C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\source-repo-thin-packs","private-low","Story/D&D app."
"04-github-repos","GitHub repo: WhirringWilderness","https://github.com/joshuaparris-max/WhirringWilderness","C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\source-repo-thin-packs","private-low","Creative/game project."
"05-deployments","JoshHub dashboard","https://josh-hub-two.vercel.app/dashboard","C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\raw-inventory","private-low","Deployment link."
"05-deployments","AppFactory Vercel","https://appfactory-inky.vercel.app/","C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\raw-inventory","private-low","Deployment link."
"05-deployments","DCSPrep Vercel","https://dcs-prep.vercel.app/","C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\raw-inventory","private-medium","Work-related deployment; sample data only."
"05-deployments","Avance PD Vercel","https://avance-pd.vercel.app/","C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\raw-inventory","private-medium","Work-related deployment."
"05-deployments","LifeHub dashboard","https://lifehubdashboard.vercel.app/","C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude\raw-inventory","private-low","Deployment link."
"06-gmail-searches","Gmail search: GitHub CI failures","https://mail.google.com/mail/u/0/#search/from%3Anotifications%40github.com+newer_than%3A180d+%28%22Run+failed%22+OR+%22invited+you%22+OR+Deploy%29","C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude","private-medium","Create email source cards; do not raw export Gmail."
"06-gmail-searches","Gmail search: Property mould","https://mail.google.com/mail/u/0/#search/%28%22Mould+in+shed%22+OR+%22101+Boundary+Road%22+OR+NCAT+OR+newtaas+OR+drea%29+newer_than%3A180d","C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude","private-high","Create private source card only."
"06-gmail-searches","Gmail search: Job applications","https://mail.google.com/mail/u/0/#search/%28NAB+OR+SEEK+OR+%22Customer+Advisor%22+OR+%22Application+update%22+OR+%22application+received%22+OR+%22Dubbo%22%29+newer_than%3A180d","C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude","private-medium","Create email source cards."
"06-gmail-searches","Gmail search: AI tooling","https://mail.google.com/mail/u/0/#search/%28Claude+OR+%22Claude+Code%22+OR+Anthropic+OR+Codex+OR+Copilot+OR+OpenRouter+OR+Bolt%29+newer_than%3A365d","C:\dev\joshos-atlas\joshos-atlas-prep\joshos-atlas-prep claude","private-low","Create source card if useful."
