source_id,filename,category,sensitivity,include_now,drive_id,drive_url,direct_download_url,target_subfolder,notes
pdf_dcsprep_qa_audit_primary,dcsprep-qa-audit.pdf,04-work-dcs-avance,private-medium,yes,1JrttRasK7KTLVLkCF1CtzJSwDMWNy_C2,https://drive.google.com/file/d/1JrttRasK7KTLVLkCF1CtzJSwDMWNy_C2/view,https://drive.google.com/uc?export=download&id=1JrttRasK7KTLVLkCF1CtzJSwDMWNy_C2,pdfs\04-work-dcs-avance,DCSPrep QA audit; redact school/internal data.
pdf_dcsprep_qa_audit_duplicate,dcsprep-qa-audit_DUPLICATE.pdf,99-duplicates-review,private-medium,optional,1q3_QvIlI8lhbbpfcKxugsZwzT6uHnHBq,https://drive.google.com/file/d/1q3_QvIlI8lhbbpfcKxugsZwzT6uHnHBq/view,https://drive.google.com/uc?export=download&id=1q3_QvIlI8lhbbpfcKxugsZwzT6uHnHBq,pdfs\99-duplicates-review,Older/duplicate copy.
pdf_dcs_pd_apps_audit,DCS PD Apps Audit.pdf,04-work-dcs-avance,private-medium,yes,1lS_nkTqNlULwbybvU57w_WCYCcSnPgbK,https://drive.google.com/file/d/1lS_nkTqNlULwbybvU57w_WCYCcSnPgbK/view,https://drive.google.com/uc?export=download&id=1lS_nkTqNlULwbybvU57w_WCYCcSnPgbK,pdfs\04-work-dcs-avance,DCS/PD app audit; use sample data only.
pdf_josh_health_data_compressed,Josh_____P-compressed.pdf,05-health-private,private-high,later,1UO6mMNusWS7CWBjnqEdyssXPbn5rPObx,https://drive.google.com/file/d/1UO6mMNusWS7CWBjnqEdyssXPbn5rPObx/view,https://drive.google.com/uc?export=download&id=1UO6mMNusWS7CWBjnqEdyssXPbn5rPObx,pdfs\05-health-private,Private health-related data/report; do not upload raw until local-only policy is ready.
pdf_josh_health_app_2,_JoshHealthApp(2).PDF,05-health-private,private-high,later,1u7RKiPCsPqfeYPvdsLLBl9qHizsyqTMl,https://drive.google.com/file/d/1u7RKiPCsPqfeYPvdsLLBl9qHizsyqTMl/view,https://drive.google.com/uc?export=download&id=1u7RKiPCsPqfeYPvdsLLBl9qHizsyqTMl,pdfs\05-health-private,Health app document; private only.
pdf_josh_health_app_2_dup,_JoshHealthApp(2).PDF.pdf,99-duplicates-review,private-high,optional,1bFP_4ACkdGexJfPLchCmKoHSNafLvVb4,https://drive.google.com/file/d/1bFP_4ACkdGexJfPLchCmKoHSNafLvVb4/view,https://drive.google.com/uc?export=download&id=1bFP_4ACkdGexJfPLchCmKoHSNafLvVb4,pdfs\99-duplicates-review,Duplicate health app document.
pdf_screen_blurry_vision_research,Screen_Related_Blurry_Vision_Research_Report.pdf,05-health-private,private-medium,later,1DC1dl7gg-r4tslLFO66nDGlHtnyMx08q,https://drive.google.com/file/d/1DC1dl7gg-r4tslLFO66nDGlHtnyMx08q/view,https://drive.google.com/uc?export=download&id=1DC1dl7gg-r4tslLFO66nDGlHtnyMx08q,pdfs\05-health-private,Vision/screen-use research report; private health-adjacent.
pdf_heartbug_android_architecture,HeartBug_Android_App_Full_Stack_Architecture_Report.pdf,05-health-private,private-high,later,1i9VmDwtIb74iPEbiPgX-JhziPvIOBRky,https://drive.google.com/file/d/1i9VmDwtIb74iPEbiPgX-JhziPvIOBRky/view,https://drive.google.com/uc?export=download&id=1i9VmDwtIb74iPEbiPgX-JhziPvIOBRky,pdfs\05-health-private,HeartBug architecture/report; health-adjacent/private.
pdf_heartbug_bluetooth_buffering,HeartBug_Deep_Research_PDF_2_Samsung_Bluetooth_Buffering_Offline.pdf,05-health-private,private-high,later,125rW-7P1M4TCpZLAMBZRBPWaXY3cwOyb,https://drive.google.com/file/d/125rW-7P1M4TCpZLAMBZRBPWaXY3cwOyb/view,https://drive.google.com/uc?export=download&id=125rW-7P1M4TCpZLAMBZRBPWaXY3cwOyb,pdfs\05-health-private,HeartBug deep research; private.
pdf_sylvie_combined_ndis_notes_latest,____Sylvie Combined NDIS Notes - -25b8265d2d23ba4f.pdf,06-child-ndis-local-only,local-only,no,1VYCgtQxXTSXcNdxsaTF5GKmEfx7Vbb5o,https://drive.google.com/file/d/1VYCgtQxXTSXcNdxsaTF5GKmEfx7Vbb5o/view,https://drive.google.com/uc?export=download&id=1VYCgtQxXTSXcNdxsaTF5GKmEfx7Vbb5o,pdfs\06-child-ndis-local-only,Highly sensitive child/NDIS notes. Do not send raw to Fable; local-only or manually summarised.
pdf_sylvie_combined_ndis_notes_dup,____Sylvie Combined NDIS Notes - -25b8265d2d23ba4f_DUPLICATE.pdf,99-duplicates-review,local-only,no,1csFZuFzUSgP9OzbeusCkLIKfZ9nZUF22,https://drive.google.com/file/d/1csFZuFzUSgP9OzbeusCkLIKfZ9nZUF22/view,https://drive.google.com/uc?export=download&id=1csFZuFzUSgP9OzbeusCkLIKfZ9nZUF22,pdfs\99-duplicates-review,Duplicate/older child NDIS notes.
pdf_sylvie_family_report_april2026_latest,Sylvie_Family_Report_April2026.pdf,06-child-ndis-local-only,local-only,no,1h_Ksi7UahbvbIBBBGlJY5ceQOpxVJi3w,https://drive.google.com/file/d/1h_Ksi7UahbvbIBBBGlJY5ceQOpxVJi3w/view,https://drive.google.com/uc?export=download&id=1h_Ksi7UahbvbIBBBGlJY5ceQOpxVJi3w,pdfs\06-child-ndis-local-only,Sensitive family/child report; local-only.
pdf_sylvie_family_report_april2026_dup,Sylvie_Family_Report_April2026_DUPLICATE.pdf,99-duplicates-review,local-only,no,1RSBJfFvlkai3bhA6nMOw0H1QWGOleHym,https://drive.google.com/file/d/1RSBJfFvlkai3bhA6nMOw0H1QWGOleHym/view,https://drive.google.com/uc?export=download&id=1RSBJfFvlkai3bhA6nMOw0H1QWGOleHym,pdfs\99-duplicates-review,Duplicate/older sensitive child/family report.
pdf_sylvie_ndis_plan_approval,NDIS Plan Approval Sylvie Parris.pdf,06-child-ndis-local-only,local-only,no,1hLaZOvZB9aau-4s4mlMjtsK2mKTHmx7s,https://drive.google.com/file/d/1hLaZOvZB9aau-4s4mlMjtsK2mKTHmx7s/view,https://drive.google.com/uc?export=download&id=1hLaZOvZB9aau-4s4mlMjtsK2mKTHmx7s,pdfs\06-child-ndis-local-only,Highly sensitive NDIS plan. Do not send raw to Fable.
pdf_sylvie_combined_notes_dec_2025_1,____Sylvie Combined NDIS Notes - 6th Dec 2025 (1).pdf,06-child-ndis-local-only,local-only,no,1DIk9jmCoWUqvgEeJYvlozl019aEw9Z81,https://drive.google.com/file/d/1DIk9jmCoWUqvgEeJYvlozl019aEw9Z81/view,https://drive.google.com/uc?export=download&id=1DIk9jmCoWUqvgEeJYvlozl019aEw9Z81,pdfs\06-child-ndis-local-only,Sensitive child/NDIS notes; local-only.
pdf_sylvie_combined_notes_dec_2025,____Sylvie Combined NDIS Notes - 6th Dec 2025.pdf,06-child-ndis-local-only,local-only,no,1o3vsylxWt3G7G8BzBkoYvPFF44-Sr8qT,https://drive.google.com/file/d/1o3vsylxWt3G7G8BzBkoYvPFF44-Sr8qT/view,https://drive.google.com/uc?export=download&id=1o3vsylxWt3G7G8BzBkoYvPFF44-Sr8qT,pdfs\06-child-ndis-local-only,Sensitive child/NDIS notes; local-only.
pdf_mould_escalation_report,Mould_Escalation_Report_101_Boundary_Road_Dubbo.pdf,07-property-tenancy-private,private-high,later,1hF67ndLOAe9vQtAne8Ansd8QaBm9AzHy,https://drive.google.com/file/d/1hF67ndLOAe9vQtAne8Ansd8QaBm9AzHy/view,https://drive.google.com/uc?export=download&id=1hF67ndLOAe9vQtAne8Ansd8QaBm9AzHy,pdfs\07-property-tenancy-private,Tenancy/property report; private.
pdf_grandmaster_path_unified_audit,grandmaster_path_unified_master_audit_and_architecture_plan.pdf,08-games-creative-optional,private-low,optional,18thsHE4mZiBsAenEamJlnJm2nZZxVb4O,https://drive.google.com/file/d/18thsHE4mZiBsAenEamJlnJm2nZZxVb4O/view,https://drive.google.com/uc?export=download&id=18thsHE4mZiBsAenEamJlnJm2nZZxVb4O,pdfs\08-games-creative-optional,Chess app architecture audit; optional source card.
pdf_grandmaster_path_gap_audit_primary,grandmaster_path_competitive_gap_audit.pdf,08-games-creative-optional,private-low,optional,16Puqbeu0vFbiJyQLAWTjRVi3L4f3BxPL,https://drive.google.com/file/d/16Puqbeu0vFbiJyQLAWTjRVi3L4f3BxPL/view,https://drive.google.com/uc?export=download&id=16Puqbeu0vFbiJyQLAWTjRVi3L4f3BxPL,pdfs\08-games-creative-optional,Chess app audit; optional source card.
pdf_chess_app_gap_audit_primary,chess_app_gap_audit.pdf,08-games-creative-optional,private-low,optional,1i8cJB8kRApEm6Ts3lXAx95arH9Yr3GUq,https://drive.google.com/file/d/1i8cJB8kRApEm6Ts3lXAx95arH9Yr3GUq/view,https://drive.google.com/uc?export=download&id=1i8cJB8kRApEm6Ts3lXAx95arH9Yr3GUq,pdfs\08-games-creative-optional,Chess app gap audit; optional.
pdf_chess_app_gap_audit_duplicate,chess_app_gap_audit_DUPLICATE.pdf,99-duplicates-review,private-low,optional,1QuGoZgoG1gVMy34YjCO4pME2W8rC12ci,https://drive.google.com/file/d/1QuGoZgoG1gVMy34YjCO4pME2W8rC12ci/view,https://drive.google.com/uc?export=download&id=1QuGoZgoG1gVMy34YjCO4pME2W8rC12ci,pdfs\99-duplicates-review,Duplicate chess app audit.
pdf_chatgpt_audit_primary,ChatGPT Audit.pdf,08-games-creative-optional,private-low,optional,1zRw71SOVYBx_36Bcf5BlNXu6zhusZjgJ,https://drive.google.com/file/d/1zRw71SOVYBx_36Bcf5BlNXu6zhusZjgJ/view,https://drive.google.com/uc?export=download&id=1zRw71SOVYBx_36Bcf5BlNXu6zhusZjgJ,pdfs\08-games-creative-optional,ChatGPT audit; optional.
pdf_chatgpt_audit_duplicate,ChatGPT Audit_DUPLICATE.pdf,99-duplicates-review,private-low,optional,1D28_UAWiZj-x4o94qkK5uzofcz19k0bK,https://drive.google.com/file/d/1D28_UAWiZj-x4o94qkK5uzofcz19k0bK/view,https://drive.google.com/uc?export=download&id=1D28_UAWiZj-x4o94qkK5uzofcz19k0bK,pdfs\99-duplicates-review,Duplicate ChatGPT audit.
pdf_josh_dnd_books_total_tabletop_report,Josh_DnD_Books_Total_Tabletop_Campaign_Research_Report.pdf,08-games-creative-optional,private-low,optional,1gGGg5C9h3Sne5ECZVrlhHAZL0WTCo0Sh,https://drive.google.com/file/d/1gGGg5C9h3Sne5ECZVrlhHAZL0WTCo0Sh/view,https://drive.google.com/uc?export=download&id=1gGGg5C9h3Sne5ECZVrlhHAZL0WTCo0Sh,pdfs\08-games-creative-optional,D&D/tabletop campaign research; optional.
pdf_og_josh_operational_dossier,__# OG Josh — Operational Dossier.pdf,09-personal-private-review,private-high,later,1Mjkk9c-IV8BKKOwk6oyjcUrKG6jpqK5x,https://drive.google.com/file/d/1Mjkk9c-IV8BKKOwk6oyjcUrKG6jpqK5x/view,https://drive.google.com/uc?export=download&id=1Mjkk9c-IV8BKKOwk6oyjcUrKG6jpqK5x,pdfs\09-personal-private-review,Likely private personal dossier; review manually before any AI use.
