"Path","LineNumber","Pattern","Note"
"C:\dev\AIDM\src\test\groq-provider.test.ts","61","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\AIDM\src\test\groq-provider.test.ts","62","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\AIDM\src\test\groq-provider.test.ts","80","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\AIDM\src\test\groq-provider.test.ts","81","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\AIDM\src\test\groq-provider.test.ts","97","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\AIDM\src\test\groq-provider.test.ts","98","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\AIDM\src\test\provider-repair.test.ts","14","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\AIDM\src\test\turn-fallback.test.ts","19","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\AIDM\src\test\turn-fallback.test.ts","20","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\Chess\md.md","1156","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\Chess\md.md","1230","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\Chess\chess-postgame-review\.env.example","1","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\Chess\chess-postgame-review\README.md","7","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\Chess\chess-postgame-review\README.md","27","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\Chess\chess-postgame-review\app\api\game-review\route.ts","34","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\Chess\chess-postgame-review\app\api\game-review-chat\route.ts","34","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\Chess\chess-postgame-review\docs\top_5_peak_elo_chess_players_deep_research.txt","933","sk-","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\Chess\codex-postgame-review-check\README.md","7","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\Chess\codex-postgame-review-check\README.md","27","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\Chess\codex-postgame-review-check\app\api\game-review\route.ts","20","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\Chess\codex-postgame-review-check\app\api\game-review-chat\route.ts","20","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\Chess\codex-postgame-review-check\docs\top_5_peak_elo_chess_players_deep_research.txt","933","sk-","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\Chess\github-current\.env.example","1","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\Chess\github-current\README.md","7","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\Chess\github-current\README.md","27","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\Chess\github-current\app\api\game-review\route.ts","34","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\Chess\github-current\app\api\game-review-chat\route.ts","34","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\Chess\github-current\docs\top_5_peak_elo_chess_players_deep_research.txt","933","sk-","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\Chess\postgame-review-verification\README.md","7","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\Chess\postgame-review-verification\README.md","27","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\Chess\postgame-review-verification\app\api\game-review\route.ts","33","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\Chess\postgame-review-verification\app\api\game-review-chat\route.ts","33","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\Chess\postgame-review-verification\docs\top_5_peak_elo_chess_players_deep_research.txt","933","sk-","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\Chess\_archive\grandmaster-path-alpha-original\grandmaster-path-alpha\.env.example","1","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\Chess\_archive\grandmaster-path-alpha-original\grandmaster-path-alpha\README.md","7","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\Chess\_archive\grandmaster-path-alpha-original\grandmaster-path-alpha\README.md","27","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\Chess\_archive\grandmaster-path-alpha-original\grandmaster-path-alpha\app\api\game-review\route.ts","34","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\Chess\_archive\grandmaster-path-alpha-original\grandmaster-path-alpha\app\api\game-review-chat\route.ts","34","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\Chess\_archive\grandmaster-path-alpha-original\grandmaster-path-alpha\docs\top_5_peak_elo_chess_players_deep_research.txt","933","sk-","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\GROQCHAT\.env.example","1","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\GROQCHAT\.env.example","2","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\GROQCHAT\README.md","40","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\GROQCHAT\README.md","41","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\GROQCHAT\README.md","45","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\GROQCHAT\README.md","46","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\GROQCHAT\README.md","53","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\GROQCHAT\README.md","54","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\GROQCHAT\lib\groq.ts","15","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\GROQCHAT\lib\groq.ts","16","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\GROQCHAT\test\groq-helpers.test.ts","7","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\GROQCHAT\test\groq-helpers.test.ts","8","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\GROQCHAT\test\groq-helpers.test.ts","13","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\GROQCHAT\test\groq-helpers.test.ts","14","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\GROQCHAT\test\groq-helpers.test.ts","25","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\GROQCHAT\test\groq-helpers.test.ts","26","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\GROQCHAT\test\groq-helpers.test.ts","39","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\GROQCHAT\test\groq-helpers.test.ts","40","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\GROQCHAT2\.env.example","1","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\GROQCHAT2\.env.example","2","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\GROQCHAT2\README.md","56","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\GROQCHAT2\README.md","57","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\GROQCHAT2\README.md","78","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\GROQCHAT2\README.md","79","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\GROQCHAT2\README.md","83","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\GROQCHAT2\README.md","92","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\GROQCHAT2\README.md","93","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\GROQCHAT2\README.md","150","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\GROQCHAT2\README.md","151","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\GROQCHAT2\src\lib\groq.ts","37","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\GROQCHAT2\test\groq-helpers.test.ts","30","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\GROQCHAT2\test\groq-helpers.test.ts","31","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\GROQCHAT2\test\groq-helpers.test.ts","34","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\GROQCHAT2\test\groq-helpers.test.ts","35","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\GROQCHAT2\test\groq-helpers.test.ts","48","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\GROQCHAT2\test\groq-helpers.test.ts","49","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\06_FABLE_SESSION.md","39","sk-","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\06_FABLE_SESSION.md","151","sk-","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\MANIFEST.md","17","sk-","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\MANIFEST.md","29","sk-","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\MANIFEST.md","56","sk-","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\MASTER_PLAN_V6.md","184","sk-","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\scripts\02-token-string-scan.ps1","5","ghp_","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\scripts\02-token-string-scan.ps1","6","github_pat_","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\scripts\02-token-string-scan.ps1","7","sk-","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\scripts\02-token-string-scan.ps1","8","OPENAI_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\scripts\02-token-string-scan.ps1","9","ANTHROPIC_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\scripts\02-token-string-scan.ps1","10","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\scripts\02-token-string-scan.ps1","11","OPENROUTER_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\scripts\02-token-string-scan.ps1","12","VERCEL_TOKEN","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\scripts\02-token-string-scan.ps1","13","SUPABASE_SERVICE_ROLE","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\scripts\02-token-string-scan.ps1","14","FIREBASE_PRIVATE_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\scripts\02-token-string-scan.ps1","14","PRIVATE_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\joshos-atlas\chatgpt\joshos-atlas-prep\source-cards\privacy-risk-cards.md","3","sk-","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\joshos-atlas\joshos-atlas-pdf-download-kit\joshos-atlas-pdf-download-kit\download-helpers\prep-v2.ps1","168","ghp_","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\joshos-atlas\joshos-atlas-pdf-download-kit\joshos-atlas-pdf-download-kit\download-helpers\prep-v2.ps1","168","github_pat_","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\joshos-atlas\joshos-atlas-pdf-download-kit\joshos-atlas-pdf-download-kit\download-helpers\prep-v2.ps1","39","sk-","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\joshos-atlas\joshos-atlas-pdf-download-kit\joshos-atlas-pdf-download-kit\download-helpers\prep-v2.ps1","45","sk-","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\joshos-atlas\joshos-atlas-pdf-download-kit\joshos-atlas-pdf-download-kit\download-helpers\prep-v2.ps1","49","sk-","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\joshos-atlas\joshos-atlas-pdf-download-kit\joshos-atlas-pdf-download-kit\download-helpers\prep-v2.ps1","168","sk-","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\joshos-atlas\joshos-atlas-pdf-download-kit\joshos-atlas-pdf-download-kit\download-helpers\prep-v2.ps1","168","OPENAI_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\joshos-atlas\joshos-atlas-pdf-download-kit\joshos-atlas-pdf-download-kit\download-helpers\prep-v2.ps1","168","ANTHROPIC_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\joshos-atlas\joshos-atlas-pdf-download-kit\joshos-atlas-pdf-download-kit\download-helpers\prep-v2.ps1","168","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\joshos-atlas\joshos-atlas-pdf-download-kit\joshos-atlas-pdf-download-kit\download-helpers\prep-v2.ps1","168","OPENROUTER_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\joshos-atlas\joshos-atlas-pdf-download-kit\joshos-atlas-pdf-download-kit\download-helpers\prep-v2.ps1","168","VERCEL_TOKEN","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\joshos-atlas\joshos-atlas-pdf-download-kit\joshos-atlas-pdf-download-kit\download-helpers\prep-v2.ps1","168","SUPABASE_SERVICE_ROLE","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\joshos-atlas\joshos-atlas-pdf-download-kit\joshos-atlas-pdf-download-kit\download-helpers\prep-v2.ps1","168","FIREBASE_PRIVATE_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\joshos-atlas\joshos-atlas-pdf-download-kit\joshos-atlas-pdf-download-kit\download-helpers\prep-v2.ps1","168","PRIVATE_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\joshos-atlas\joshos-atlas-pdf-download-kit\joshos-atlas-pdf-download-kit\download-helpers\prep-v2.ps1","168","CLIENT_SECRET","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\joshos-atlas\joshos-atlas-pdf-download-kit\joshos-atlas-pdf-download-kit\download-helpers\script.ps1","234","ghp_","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\joshos-atlas\joshos-atlas-pdf-download-kit\joshos-atlas-pdf-download-kit\download-helpers\script.ps1","235","github_pat_","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\joshos-atlas\joshos-atlas-pdf-download-kit\joshos-atlas-pdf-download-kit\download-helpers\script.ps1","69","sk-","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\joshos-atlas\joshos-atlas-pdf-download-kit\joshos-atlas-pdf-download-kit\download-helpers\script.ps1","75","sk-","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\joshos-atlas\joshos-atlas-pdf-download-kit\joshos-atlas-pdf-download-kit\download-helpers\script.ps1","79","sk-","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\joshos-atlas\joshos-atlas-pdf-download-kit\joshos-atlas-pdf-download-kit\download-helpers\script.ps1","236","sk-","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\joshos-atlas\joshos-atlas-pdf-download-kit\joshos-atlas-pdf-download-kit\download-helpers\script.ps1","237","OPENAI_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\joshos-atlas\joshos-atlas-pdf-download-kit\joshos-atlas-pdf-download-kit\download-helpers\script.ps1","238","ANTHROPIC_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\joshos-atlas\joshos-atlas-pdf-download-kit\joshos-atlas-pdf-download-kit\download-helpers\script.ps1","239","GROQ_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\joshos-atlas\joshos-atlas-pdf-download-kit\joshos-atlas-pdf-download-kit\download-helpers\script.ps1","240","OPENROUTER_API_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\joshos-atlas\joshos-atlas-pdf-download-kit\joshos-atlas-pdf-download-kit\download-helpers\script.ps1","241","VERCEL_TOKEN","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\joshos-atlas\joshos-atlas-pdf-download-kit\joshos-atlas-pdf-download-kit\download-helpers\script.ps1","242","SUPABASE_SERVICE_ROLE","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\joshos-atlas\joshos-atlas-pdf-download-kit\joshos-atlas-pdf-download-kit\download-helpers\script.ps1","243","FIREBASE_PRIVATE_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\joshos-atlas\joshos-atlas-pdf-download-kit\joshos-atlas-pdf-download-kit\download-helpers\script.ps1","243","PRIVATE_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\joshos-atlas\joshos-atlas-pdf-download-kit\joshos-atlas-pdf-download-kit\download-helpers\script.ps1","244","PRIVATE_KEY","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\joshos-atlas\joshos-atlas-pdf-download-kit\joshos-atlas-pdf-download-kit\download-helpers\script.ps1","245","CLIENT_SECRET","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\joshos-atlas\joshos-atlas-pdf-download-kit\joshos-atlas-pdf-download-kit\download-helpers\script.txt","234","ghp_","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\joshos-atlas\joshos-atlas-pdf-download-kit\joshos-atlas-pdf-download-kit\download-helpers\script.txt","235","github_pat_","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\joshos-atlas\joshos-atlas-pdf-download-kit\joshos-atlas-pdf-download-kit\download-helpers\script.txt","69","sk-","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\joshos-atlas\joshos-atlas-pdf-download-kit\joshos-atlas-pdf-download-kit\download-helpers\script.txt","75","sk-","Line content intentionally redacted. Open file locally to inspect."
"C:\dev\joshos-atlas\joshos-atlas-pdf-download-kit\joshos-atlas-pdf-download-kit\download-helpers\script.txt","79","sk-","Line content intentionally redacted. Open file locally to inspect."
